テーブル名（日本語）,テーブル名（英語）,カラム名（日）,カラム名（英）,仮説,分析シナリオ,説明文,具体的手続,TGDScript
入金データ,payment,"入金番号,得意先コード,入金日,入金金額,入金方法,消込対象請求番号,備考","paymentNumber,customerCode,paymentDate,paymentAmount,paymentMethod,billingNumber,remarks",備考欄に「エラー」「誤入金」などの異常ワードが含まれる,入金データにおいて、備考欄に「エラー」「誤入金」などの異常ワードが含まれるケースを抽出して内容を確認する,備考欄に「エラー」「誤入金」などの異常ワードが含まれる場合、不正処理、入力ミス、業務逸脱、請求との不整合などの問題が発生する可能性がある,「備考」を用いて「備考欄に「エラー」「誤入金」などの異常ワードが含まれる」の条件に合致する入金データを抽出し、請求データやマスタと突合・分析・確認を行う,
入金データ,payment,"入金番号,得意先コード,入金日,入金金額,入金方法,消込対象請求番号,備考","paymentNumber,customerCode,paymentDate,paymentAmount,paymentMethod,billingNumber,remarks",備考欄に多言語が混在している,入金データにおいて、備考欄に多言語が混在しているケースを抽出して内容を確認する,備考欄に多言語が混在している場合、不正処理、入力ミス、業務逸脱、請求との不整合などの問題が発生する可能性がある,「備考」を用いて「備考欄に多言語が混在している」の条件に合致する入金データを抽出し、請求データやマスタと突合・分析・確認を行う,
入金データ,payment,"入金番号,得意先コード,入金日,入金金額,入金方法,消込対象請求番号,備考","paymentNumber,customerCode,paymentDate,paymentAmount,paymentMethod,billingNumber,remarks",備考欄に手書きメモのような記録が含まれている,入金データにおいて、備考欄に手書きメモのような記録が含まれているケースを抽出して内容を確認する,備考欄に手書きメモのような記録が含まれている場合、不正処理、入力ミス、業務逸脱、請求との不整合などの問題が発生する可能性がある,「備考」を用いて「備考欄に手書きメモのような記録が含まれている」の条件に合致する入金データを抽出し、請求データやマスタと突合・分析・確認を行う,"<thinking>
ユーザーの要求:
- 分析シナリオ: 入金データにおいて、備考欄に手書きメモのような記録が含まれているケースを抽出して内容を確認する

説明文:
- 備考欄に手書きメモのような長文や文字数が異常に多い記録が含まれている場合、不正処理、入力ミス、業務運用の逸脱、請求との不整合の可能性がある

処理手順:
1. 入金データを開く  
2. 新フィールド [備考欄文字数] を定義し、LENGTH 関数で [備考] の文字数を計算して追加  
3. [備考欄文字数] が「0 以外」のレコードを抽出し、手書きメモのような備考欄を持つデータを取得  
4. 抽出結果に対して偏差値（IQR法による外れ値検出含む）を算出し、异常値を特定  
5. 異常値フィールドでビン幅「10,20,…,90」のヒストグラムを作成して出力
</thinking>
<|end|>
```tgd
OPEN ""入金データ""
DEFINE FIELD [備考欄文字数] N PIC ""True"" POSITION 22 COMPUTED LENGTH([備考], 0)
OPEN ""入金データ""
EXTRACT ALLFIELDS IF [備考欄文字数] <> 0 TO ""W_作業\W01013_005_備考欄_記入""
OPEN ""W_作業\W01013_005_備考欄_記入""
DEVIATION ON RECORDS SUBTOTAL [備考欄文字数] OTHER ALLFIELDS INCLUDE OUTLIER IQR OUTLIERS LOGARITHM TO ""01013\K_結果\K01013_005_備考欄_文字数_偏差値""
OPEN ""01013\K_結果\K01013_005_備考欄_文字数_偏差値""
HISTOGRAM ON [偏差値_備考欄文字数] FREE ""10,20,30,40,50,60,70,80,90"" TO ""01013\K_結果\K01013_010_備考欄_文字数_偏差値_HTG""
OPEN ""01013\K_結果\K01013_010_備考欄_文字数_偏差値_HTG""
```"
入金データ,payment,"入金番号,得意先コード,入金日,入金金額,入金方法,消込対象請求番号,備考","paymentNumber,customerCode,paymentDate,paymentAmount,paymentMethod,billingNumber,remarks",入力ミスによる桁数違い（例：1000000→10000000）,入金データにおいて、入力ミスによる桁数違い（例：1000000→10000000）ケースを抽出して内容を確認する,入力ミスによる桁数違い（例：1000000→10000000）場合、不正処理、入力ミス、業務逸脱、請求との不整合などの問題が発生する可能性がある,「入金番号、入金日、入金金額、得意先コード」を用いて「入力ミスによる桁数違い（例：1000000→10000000）」の条件に合致する入金データを抽出し、請求データやマスタと突合・分析・確認を行う,"<thinking>
ユーザーの要求:
- 分析シナリオ: 入金データにおいて、入力ミスによる桁数違い（例：1,000,000→10,000,000）のケースを抽出して内容を確認する

説明文:
- 数値フィールドの桁数が通常と異なる場合、入力ミスや不正処理、業務運用の逸脱、請求との不整合が発生している可能性がある

処理手順:
1. 入金データを開き、新フィールド [入金金額桁数] を追加して、LENGTH 関数で [入金金額] の桁数を算出  
2. 得意先コードごとに [入金金額桁数] の偏差値（IQR 法による外れ値検出含む）を算出し、異常な桁数を特定  
3. 偏差値フィールドでビン幅「10,20,…,90」のヒストグラムを作成し、極端な桁数の分布を可視化
</thinking>
<|end|>
```tgd
OPEN ""入金データ""
DEFINE FIELD [入金金額桁数] N PIC ""True"" POSITION 4 COMPUTED LENGTH([入金金額], 0)
OPEN ""入金データ""
DEVIATION ON [得意先コード] SUBTOTAL [入金金額桁数] OTHER ALLFIELDS INCLUDE OUTLIER IQR OUTLIERS LOGARITHM TO ""01014\\K_結果\\K01014_005_入金金額桁数_偏差値""
OPEN ""01014\\K_結果\\K01014_005_入金金額桁数_偏差値""
HISTOGRAM ON [偏差値_入金金額桁数] FREE ""10,20,30,40,50,60,70,80,90"" TO ""01014\\K_結果\\K01014_010_入金金額桁数_偏差値_HTG""
OPEN ""01014\\K_結果\\K01014_010_入金金額桁数_偏差値_HTG""
```"
入金データ,payment,"入金番号,得意先コード,入金日,入金金額,入金方法,消込対象請求番号,備考","paymentNumber,customerCode,paymentDate,paymentAmount,paymentMethod,billingNumber,remarks",入力者によって金額に偏りが見られる,入金データにおいて、入力者によって金額に偏りが見られるケースを抽出して内容を確認する,入力者によって金額に偏りが見られる場合、不正処理、入力ミス、業務逸脱、請求との不整合などの問題が発生する可能性がある,「入金金額」を用いて「入力者によって金額に偏りが見られる」の条件に合致する入金データを抽出し、請求データやマスタと突合・分析・確認を行う,"
<thinking>
ユーザーの要求:
- 分析シナリオ: 入金データにおいて、入力者によって金額に偏りが見られるケースを抽出して内容を確認する

説明文:
- 入力者ごとに入力された入金金額に偏りがある場合、不正処理、入力ミス、業務運用の逸脱、請求との不整合などの問題が発生している可能性がある

処理手順:
1. 入金データを開き、[入力者] ごとに [入金金額] の合計を集計して一時テーブル「W_作業\W01015_005_入力者_入力金額_要約」に出力  
2. 集計結果を開き、[合計_入金金額] フィールドで SMIRNOV／IQR 法による外れ値検出を含む偏差値算出を行い、「01015\K_結果\K01015_005_入力者_入金金額_偏差値」に出力  
3. 偏差値フィールドを用いてビン幅「10,20,…,90」のヒストグラムを作成し、「01015\K_結果\K01015_010_入力者_入金金額_偏差値_HTG」に保存
</thinking>
<|end|>
```tgd
OPEN ""入金データ""
SUMMARIZE ON [入力者] SUBTOTAL [入金金額] OTHER TO ""W_作業\W01015_005_入力者_入力金額_要約""
OPEN ""W_作業\W01015_005_入力者_入力金額_要約""
DEVIATION ON RECORDS SUBTOTAL [合計_入金金額] OTHER [入力者] INCLUDE OUTLIER IQR OUTLIERS LOGARITHM TO ""01015\K_結果\K01015_005_入力者_入金金額_偏差値""
OPEN ""01015\K_結果\K01015_005_入力者_入金金額_偏差値""
HISTOGRAM ON [偏差値_合計_入金金額] FREE ""10,20,30,40,50,60,70,80,90"" TO ""01015\K_結果\K01015_010_入力者_入金金額_偏差値_HTG""
OPEN ""01015\K_結果\K01015_010_入力者_入金金額_偏差値_HTG""
```"
入金データ,payment,"入金番号,得意先コード,入金日,入金金額,入金方法,消込対象請求番号,備考","paymentNumber,customerCode,paymentDate,paymentAmount,paymentMethod,billingNumber,remarks",入金処理後に手動で金額修正が行われている,入金データにおいて、入金処理後に手動で金額修正が行われているケースを抽出して内容を確認する,入金処理後に手動で金額修正が行われている場合、不正処理、入力ミス、業務逸脱、請求との不整合などの問題が発生する可能性がある,「入金金額」を用いて「入金処理後に手動で金額修正が行われている」の条件に合致する入金データを抽出し、請求データやマスタと突合・分析・確認を行う,"<thinking>
ユーザーの要求:
- 分析シナリオ: 入金データにおいて、入金処理後に手動で金額修正が行われているケースを抽出して内容を確認する

説明文:
- 入金処理後に手動で金額修正が行われている場合、不正処理、入力ミス、業務運用の逸脱、請求との不整合などの問題が発生する可能性がある

処理手順:
1. 入金データを開き、[入金修正フラグ] = 1 のレコードを抽出し「W_作業\W010016_005_修正_入金」に出力  
2. 抽出結果を開き、新フィールド [入金_請求_金額差] を定義して、[入金金額] − [請求金額] の差額を計算  
3. 続けて新フィールド [入金_請求_金額差_絶対値] を定義し、ABS 関数で差額の絶対値を計算  
4. 絶対値フィールドを基準に降順ソートし、修正額が大きい順に「01016\K_結果\K01016_005_修正_入金_並べ替え」に出力
</thinking>
<|end|>
```tgd
OPEN ""入金データ""
EXTRACT ALLFIELDS IF [入金修正フラグ] = 1 TO ""W_作業\\W010016_005_修正_入金""
OPEN ""W_作業\\W010016_005_修正_入金""
DEFINE FIELD [入金_請求_金額差] N PIC ""True"" POSITION 23 COMPUTED
  [入金金額] - [請求金額]
OPEN ""W_作業\\W010016_005_修正_入金""
DEFINE FIELD [入金_請求_金額差_絶対値] N PIC ""True"" POSITION 24 COMPUTED
  ABS([入金_請求_金額差])
OPEN ""W_作業\\W010016_005_修正_入金""
SORT ON [入金_請求_金額差_絶対値] D FIELDS ALLFIELDS TO ""01016\\K_結果\\K01016_005_修正_入金_並べ替え""
OPEN ""01016\\K_結果\\K01016_005_修正_入金_並べ替え""
```"
入金データ,payment,"入金番号,得意先コード,入金日,入金金額,入金方法,消込対象請求番号,備考","paymentNumber,customerCode,paymentDate,paymentAmount,paymentMethod,billingNumber,remarks",入金方法が未設定（NULLまたは空白）,入金データにおいて、入金方法が未設定（NULLまたは空白）ケースを抽出して内容を確認する,入金方法が未設定（NULLまたは空白）場合、不正処理、入力ミス、業務逸脱、請求との不整合などの問題が発生する可能性がある,「入金方法」を用いて「入金方法が未設定（NULLまたは空白）」の条件に合致する入金データを抽出し、請求データやマスタと突合・分析・確認を行う,"<thinking>
ユーザーの要求:
- 分析シナリオ: 入金データにおいて、入金方法が未設定（NULLまたは空白）ケースを抽出して内容を確認する

説明文:
- 入金方法が未設定の場合、不正処理、入力ミス、業務運用の逸脱、請求との不整合などの問題が発生する可能性がある

処理手順:
1. 入金データを開く  
2. [入金方法] が空文字（または NULL）であるレコードを抽出し、必要なフィールドを別ファイルに出力  
3. 抽出結果を件数集計して、データ品質の状況を把握
</thinking>
<|end|>
```tgd
OPEN ""入金データ""
EXTRACT ALLFIELDS IF [入金方法] = """" TO ""01017\\K_結果\\K01017_005_入金方法_未設定""
OPEN ""01017\\K_結果\\K01017_005_入金方法_未設定""
SUMMARIZE ON RECORDS SUBTOTAL OTHER TO ""W_作業\\W01017_000_入金方法_未設定_件数""
OPEN ""W_作業\\W01017_000_入金方法_未設定_件数""
```"
入金データ,payment,"入金番号,得意先コード,入金日,入金金額,入金方法,消込対象請求番号,備考","paymentNumber,customerCode,paymentDate,paymentAmount,paymentMethod,billingNumber,remarks",入金方法が限定されすぎている（例：全て現金）,入金データにおいて、入金方法が現金の割合が高い取引先を抽出して内容を確認する,入金方法が限定されすぎている（例：全て現金）場合、不正処理、入力ミス、業務逸脱、請求との不整合などの問題が発生する可能性がある,「入金方法」を用いて「入金方法が限定されすぎている（例：全て現金）」の条件に合致する入金データを抽出し、請求データやマスタと突合・分析・確認を行う,"<thinking>
ユーザーの要求:
- 分析シナリオ: 入金データにおいて、入金方法が現金の割合が高い取引先を抽出して内容を確認する

説明文:
- 入金方法が「現金」の割合が高い場合、不正処理、入力ミス、業務運用の逸脱、請求との不整合などの問題が発生する可能性がある

処理手順:
1. 入金データを開き、取引先ごとの全件数を集計して一時テーブル「W_作業\W01018_005_全件_件数」に出力  
2. 同じ入金データを開き、入金方法が「現金」にマッチするレコードだけを取引先ごとに集計し「W_作業\W01018_005_現金取引_件数」に出力  
3. 全件数と現金取引件数のテーブルを取引先キーで結合し、「01018\K_結果\K01018_005_現金取引_割合」を作成  
4. 結合結果に新フィールド [現金取引_割合_％] を定義し、現金件数÷全件数×100 を計算  
5. [現金取引_割合_％] フィールドでビン幅「10,20,30,40,50」を使ったヒストグラムを作成して「01018\K_結果\K01018_010_現金取引_割合_HTG」に出力
</thinking>
<|end|>
```tgd
OPEN ""入金データ""
SUMMARIZE ON [得意先コード] SUBTOTAL OTHER TO ""W_作業\\W01018_005_全件_件数""
OPEN ""入金データ""
SUMMARIZE ON [得意先コード] SUBTOTAL OTHER IF MATCH([入金方法],""現金"",0) TO ""W_作業\\W01018_005_現金取引_件数""
OPEN ""W_作業\\W01018_005_全件_件数""
OPEN ""W_作業\\W01018_005_現金取引_件数"" SECONDARY
JOIN PKEY [得意先コード] FIELDS ALLFIELDS SKEY [得意先コード] WITH [カウント件数] PRIMARY TO ""01018\\K_結果\\K01018_005_現金取引_割合""
OPEN ""01018\\K_結果\\K01018_005_現金取引_割合""
DEFINE FIELD [現金取引_割合_％] F DEC 1 PIC ""True"" POSITION 3 COMPUTED
  [カウント件数_2] / [カウント件数] * 100
OPEN ""01018\\K_結果\\K01018_005_現金取引_割合""
HISTOGRAM ON [現金取引_割合_％] FREE ""10,20,30,40,50"" TO ""01018\\K_結果\\K01018_010_現金取引_割合_HTG""
OPEN ""01018\\K_結果\\K01018_010_現金取引_割合_HTG""
```"
入金データ,payment,"入金番号,得意先コード,入金日,入金金額,入金方法,消込対象請求番号,備考","paymentNumber,customerCode,paymentDate,paymentAmount,paymentMethod,billingNumber,remarks",入金方法に存在しない選択肢が手入力で記録されている,入金データにおいて、入金方法に存在しない選択肢が手入力で記録されているケースを抽出して内容を確認する,入金方法に存在しない選択肢が手入力で記録されている場合、不正処理、入力ミス、業務逸脱、請求との不整合などの問題が発生する可能性がある,「入金方法」を用いて「入金方法に存在しない選択肢が手入力で記録されている」の条件に合致する入金データを抽出し、請求データやマスタと突合・分析・確認を行う,
入金データ,payment,"入金番号,得意先コード,入金日,入金金額,入金方法,消込対象請求番号,備考","paymentNumber,customerCode,paymentDate,paymentAmount,paymentMethod,billingNumber,remarks",入金日が日付型でなく文字列型で記録されている,入金データにおいて、入金日が日付型でなく文字列型で記録されているケースを抽出して内容を確認する,入金日が日付型でなく文字列型で記録されている場合、不正処理、入力ミス、業務逸脱、請求との不整合などの問題が発生する可能性がある,「入金日」を用いて「入金日が日付型でなく文字列型で記録されている」の条件に合致する入金データを抽出し、請求データやマスタと突合・分析・確認を行う,"<thinking>
ユーザーの要求:
- 分析シナリオ: 入金データにおいて、入金日が日付型ではなく文字列型で記録されているケースを抽出して内容を確認する

説明文:
- 入金日が文字列型で記録されている場合、不正処理、入力ミス、業務運用の逸脱、請求との不整合などの問題が発生する可能性がある

処理手順:
1. 入金データを開く  
2. [入金日] フィールドのデータ型検証を行い、日付としてパースできないレコードを抽出  
3. 抽出結果を「W_作業\W01020_005_入金日_検証」に出力  
4. 検証結果を集計し、件数を把握して「W01020_010_入金日_検証_件数」に保存
</thinking>
<|end|>
```tgd
OPEN ""入金データ""
VERIFY ON FIELDS [入金日] ERRORLIMIT 10000 TO ""W_作業\\W01020_005_入金日_検証""
OPEN ""W_作業\\W01020_005_入金日_検証""
SUMMARIZE ON RECORDS SUBTOTAL OTHER TO ""W01020_010_入金日_検証_件数""
OPEN ""W01020_010_入金日_検証_件数""
```"
入金データ,payment,"入金番号,得意先コード,入金日,入金金額,入金方法,消込対象請求番号,備考","paymentNumber,customerCode,paymentDate,paymentAmount,paymentMethod,billingNumber,remarks",入金日が月末から月初に繰り延べられている,入金データにおいて、入金日が月末から月初に繰り延べられているケースを抽出して内容を確認する,入金日が月末から月初に繰り延べられている場合、不正処理、入力ミス、業務逸脱、請求との不整合などの問題が発生する可能性がある,「入金日」を用いて「入金日が月末から月初に繰り延べられている」の条件に合致する入金データを抽出し、請求データやマスタと突合・分析・確認を行う,
